NAME,TYPE,Sector,ADDRESS_AB,CITY,PROVINCE,POSTAL_COD,longitude,latitude
Aurora Learning Calgary,Private School,NE,#137 5305 McCall Way NE,Calgary,AB,T2E7N7,-114.0030345,51.10133931
Louise Dean (Kensington),Public School,NW,120 23 Street NW,Calgary,AB,T2N2P1,-114.1146825,51.05315071
Madeleine d'Houet,Separate School,NW,108 22 St NW,Calgary,AB,T2N2M8,-114.1122553,51.05319362
Corpus Christi,Separate School,NW,5607 Thornton Rd NW,Calgary,AB,T2K3C1,-114.0680318,51.10159694
Calgary Quest,Private School,ry,3405 Spruce Drive SW c/o Spruce Cliff Elementary,Calgary,AB,T3C0A5,-114.1366387,51.0497215
Bishop Grandin High,Separate School,SW,111 Haddon Rd SW,Calgary,AB,T2V2Y2,-114.078741,50.97543777
New Brighton,Public School,SE,30 New Brighton Drive SE,Calgary,AB,T2Z4B2,-113.9537078,50.91947717
St. Hubert,Separate School,NE,320 72 Ave NE,Calgary,AB,T2K5J3,-114.0622133,51.1183759
St. Dominic,Separate School,NW,4820 Dalhart Rd NW,Calgary,AB,T3A1C2,-114.1542441,51.10955875
St. Boniface,Separate School,SE,927 Lake Sylvan Dr SE,Calgary,AB,T2J2P8,-114.0423413,50.94306371
Highwood,Public School,NW,11 Holmwood Avenue NW,Calgary,AB,T2K2G5,-114.0765328,51.09224357
Jack James High,Public School,SE,5105 8 Avenue SE,Calgary,AB,T2A4M1,-113.9603709,51.04456881
Dalhousie,Public School,NW,4440 Dallyn Street NW,Calgary,AB,T3A1K3,-114.1513785,51.10652693
Dr. Oakley,Public School,SW,3904 20 Street SW,Calgary,AB,T2T4Z9,-114.1084354,51.01927221
Cappy Smart,Public School,NE,5808 Madigan Drive NE,Calgary,AB,T2A4P5,-113.9450677,51.06369308
Rosemont,Public School,NW,19 Rosevale Drive NW,Calgary,AB,T2K1N6,-114.0923733,51.07787121
Griffith Woods,Public School,SW,7652 26 Avenue SW,Calgary,AB,T3H3X2,-114.194747,51.03097941
St. Wilfrid,Separate School,NE,4225 44 Ave NE,Calgary,AB,T1Y4Y1,-113.9689943,51.09192654
St. Cyril,Separate School,SW,2990 Cedarbrae Dr SW,Calgary,AB,T2W2N9,-114.1285512,50.95548929
St. Francis High,Separate School,NW,877 Northmount Dr NW,Calgary,AB,,-114.1024075,51.08450658
Yufeng Chinese,Private School,NW,169 Citadel Ridge Close NW,Calgary,AB,T3G4V5,-114.1834692,51.14609435
St. Matthew,Separate School,SE,416 83 Ave SE,Calgary,AB,T2H1N3,-114.0585101,50.97868237
West View,Public School,NW,12626 85 Street NW,Calgary,AB,T3R1J3,-114.2080705,51.16557939
Simons Valley,Public School,NW,375 Sandarac Drive NW,Calgary,AB,T3K4B2,-114.107326,51.13967813
Monsignor E.L. Doyle,Separate School,NW,8887 Scurfield Dr NW,Calgary,AB,T3L1H6,-114.2164244,51.1220284
Tom Baines,Public School,NW,250 Edgepark Boulevard NW,Calgary,AB,T3A3S2,-114.1569935,51.1335144
A. E. Cross,Public School,SW,3445 37 Street SW,Calgary,AB,T3E3C2,-114.1420958,51.02324431
Centennial High,Public School,SE,55 Sun Valley Boulevard SE,Calgary,AB,T2X3W7,-114.0533548,50.90610968
Our Lady of Lourdes,Separate School,SW,1916 2 St SW,Calgary,AB,T2S1S3,-114.0681603,51.03567312
Roland Michener,Public School,NE,5958 4 Avenue NE,Calgary,AB,T2A4B1,-113.9473997,51.05701939
Southwest Elementary Campus,Charter,SW,898 Sylvester Cres. SW,Calgary,AB,T2W0R7,-114.0825466,50.95898072
West Island College,Private School,SE,7410 Blackfoot Trail SE,Calgary,AB,T2H1M5,-114.0521604,50.98710438
Father Doucet,Separate School,SW,65 Shannon Dr SW,Calgary,AB,T2Y2T5,-114.0851689,50.90934423
St. Isabella,Separate School,SE,855 Copperfield Blvd SE,Calgary,AB,T2Z4W8,-113.935989,50.91058319
School of East Indian Languages and Performing Arts,Private School,SW,376 Silverado Boulevard SW,Calgary,AB,T2X0N9,-114.0875454,50.88374152
Le Roi Daniels,Public School,SE,47 Fyffe Road SE,Calgary,AB,T2H1B9,-114.0579556,50.98385836
Delta West Academy,Private School,NE,414 - 11A Street NE,Calgary,AB,T2E4P3,-114.0346249,51.05510768
McKenzie Towne,Public School,SE,679 Prestwick Circle SE,Calgary,AB,T2Z0V3,-113.9667175,50.92704874
MAC Islamic School - Calgary Chapter,Private School,NW,6415 Ranchview Drive NW,Calgary,AB,T3G1B5,-114.1799394,51.11482356
Mount Royal University - Lincoln Park Campus,Post Secondary,,,Calgary,AB,T3E6K6,-114.1327203,51.01280496
Woodbine,Public School,SW,27 Woodfield Way SW,Calgary,AB,T2W5E1,-114.1289426,50.93653289
Father Scollen,Separate School,NE,6839 Temple Dr NE,Calgary,AB,T1Y5N4,-113.9419616,51.09302027
Annie Gale,Public School,NE,577 Whiteridge Way NE,Calgary,AB,T1Y4S8,-113.9689428,51.08907262
Monsignor Neville Anderson,Separate School,NW,327 Sandarac Dr NW,Calgary,AB,T3K4B2,-114.1041192,51.13915616
Robert Warren,Public School,SW,12424 Elbow Drive SW,Calgary,AB,T2W1H2,-114.084817,50.94250672
Prince of Peace,Separate School,SE,43 Auburn Meadows Blvd SE,Calgary,AB,T3M2C9,-113.9498421,50.89326387
Henry Wise Wood High,Public School,SW,910 75 Avenue SW,Calgary,AB,T2V0S6,-114.0846844,50.98634063
Bishop McNally High,Separate School,NE,5700 Falconridge Blvd NE,Calgary,AB,T3J3N4,-113.9537059,51.10303042
Little Angels,Private School,NW,599 Northmount Dr NW,Calgary,AB,T2K3J6,-114.0880221,51.08717329
Forest Lawn High,Public School,SE,1304 44 Street SE,Calgary,AB,T2A1M8,-113.9689496,51.04240307
Copperfield,Public School,SE,54 Copperstone Road SE,Calgary,AB,T2Z0G7,-113.9288059,50.91483204
Scenic Acres,Public School,NW,50 Scurfield Way NW,Calgary,AB,T3L1T2,-114.2156566,51.12008909
Glendale,Public School,SW,2415 Kelwood Drive SW,Calgary,AB,T3E3Z8,-114.14558,51.03246723
St. Jude,Separate School,SW,730 Woodbine Blvd SW,Calgary,AB,T2W4W4,-114.1334374,50.94295224
Vista Virtual School - Calgary Writing Centre,Public School,SE,341 - 58 Avenue SE,Calgary,AB,,-114.0576597,51.00048542
University,Public School,NW,3035 Utah Drive NW,Calgary,AB,T2N3Z9,-114.1332756,51.0698082
Discovering Choices - Downtown - CACY,Public School,SE,"206, 315 10 Avenue SE",Calgary,AB,T2G0W2,-114.0566933,51.04287051
The School of Alberta Ballet,Private School,SW,"West Annex, 2nd Floor 906-12 Avenue SW",Calgary,AB,T2R1K7,-114.082058,51.042251
Holy Angels,Separate School,SE,275 Riverglen Dr SE,Calgary,AB,T2C3T5,-114.0100177,50.97409534
Terrace Road,Public School,NW,2103 46 Street NW,Calgary,AB,T3B1B3,-114.1579317,51.07450188
Sundance,Public School,SE,200 Sunmills Drive SE,Calgary,AB,T2X2N9,-114.0468131,50.90066057
Annie Foote,Public School,NE,6320 Temple Drive NE,Calgary,AB,T1Y5V5,-113.9403303,51.08598862
Simon Fraser,Public School,NW,5215 33 Street NW,Calgary,AB,T2L1V3,-114.1365505,51.10031941
St. Clare,Separate School,NE,12455 Coventry Hills Way NE,Calgary,AB,T3K5Z4,-114.0453956,51.16474253
Westgate,Public School,SW,150 Westminster Drive SW,Calgary,AB,T3C2T3,-114.1591998,51.04448815
John G. Diefenbaker High,Public School,NW,6620 4 Street NW,Calgary,AB,T2K1C2,-114.0701312,51.11279744
Janet Johnstone,Public School,SW,224 Shawnessy Drive SW,Calgary,AB,T2Y1M1,-114.080086,50.90936931
St. Monica,Separate School,SW,235 18 Ave SW,Calgary,AB,T2S0C2,-114.0678144,51.03676979
Hillhurst,Public School,NW,1418 7 Avenue NW,Calgary,AB,T2N0Z2,-114.0931372,51.05929477
Mount View,Public School,NE,2004 4 Street NE,Calgary,AB,T2E3T8,-114.0520619,51.06962544
Niitsitapi Learning Centre,Public School,SE,3743 Dover Ridge Drive SE,Calgary,AB,T2B2E1,-113.9793371,51.02058871
Calgary Academy Collegiate,Private School,SW,1677 - 93rd Street SW,Calgary,AB,T3H0R3,-114.2242479,51.03943008
Dr. Gordon Higgins,Public School,NE,155 Rundlehill Drive NE,Calgary,AB,T1Y2W9,-113.970664,51.07526967
F.E. Osborne,Public School,NW,5315 Varsity Drive NW,Calgary,AB,T3A1A7,-114.162965,51.0928118
Father Whelihan,Separate School,SE,70 Sunmills Dr SE,Calgary,AB,T2X2R5,-114.0470194,50.90452435
Westmount Mid/High,Charter,NW,2215 Uxbridge Dr. NW,Calgary,AB,T2N4Y3,-114.1325128,51.07104759
St. Jerome,Separate School,NW,11616 Panorama Hills Blvd NW,Calgary,AB,T3K5S3,-114.0792827,51.15771116
Alexander Ferguson,Public School,SW,1704 26 Street SW,Calgary,AB,T3C1K5,-114.1229836,51.03936377
